股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
300800,力合科技,37.62,-1.57,-0.31,4.7,26.585,0.665,1504800000.0,30.1798,48.1973
000897,津滨发展,2.5,-1.57,19.05,0.59,11.217,0.0,4043111585.0,1.76,3.71
300404,博济医药,13.19,-1.57,14.76,3.76,192.565,0.058,1979461854.0,9.9946,20.2
600867,通化东宝,13.76,-1.57,10.24,0.64,34.114,1.453,27987681994.0,9.8767,18.45
688056,莱伯泰科,36.27,-1.57,46.25,4.02,44.165,None,560859513.0,34.61,63.1
000802,北京文化,6.91,-1.57,-25.62,1.87,-2.128,0.0,4912813100.0,5.44,12.3
600067,冠城大通,3.75,-1.57,-5.78,0.44,10.027,0.0,5595415219.0,3.14,4.85
603439,贵州三力,24.47,-1.57,232.93,2.52,80.071,0.0,996907800.0,8.82,44.1
000996,中国中期,8.7,-1.58,-17.92,1.36,374.232,0.0,3001500000.0,7.45,12.5
002455,百川股份,4.97,-1.58,-19.28,0.6,80.753,2.716,1953883848.0,4.2992,6.7795
002787,华源控股,8.08,-1.58,12.43,1.41,35.746,1.218,1507618314.0,5.7867,9.66
002231,奥维通信,6.22,-1.58,-11.14,0.57,39.573,0.0,2219296000.0,5.84,9.83
000596,古井贡酒,207.13,-1.58,53.75,0.46,55.658,0.724,79455068000.0,98.1366,277.58
600958,东方证券,11.2,-1.58,5.73,0.57,28.468,1.339,63586438048.0,8.5647,13.8
600250,南纺股份,5.62,-1.58,-13.0,1.04,15.9,0.0,1453851625.0,4.85,8.6
603888,新华网,20.62,-1.58,-1.54,0.62,61.085,0.946,10702385403.0,17.9752,34.6203
000938,紫光股份,23.58,-1.59,4.81,0.83,35.892,0.454,67440683429.0,18.3825,37.8044
002559,亚威股份,5.56,-1.59,-1.4,0.71,32.983,0.899,2561992311.0,4.8459,8.681
300543,朗科智能,16.67,-1.59,23.61,5.65,33.869,0.883,2624519949.0,10.7874,18.68
600353,旭光电子,5.56,-1.59,0.13,0.38,53.267,1.079,3023083200.0,4.3452,7.18
603823,百合花,14.8,-1.6,-20.85,1.09,21.499,1.496,1457510749.0,14.069,24.8642
002765,蓝黛传动,4.93,-1.6,-3.9,1.38,-33.203,0.0,1358192529.0,3.84,6.27
002538,司尔特,5.55,-1.6,18.39,0.54,14.8,1.441,3876546440.0,3.9098,7.38
002089,ST新海,2.46,-1.6,32.97,0.45,18.259,0.0,2908250386.0,1.54,3.5
002963,豪尔赛,22.7,-1.6,-33.38,1.66,70.006,0.661,853293000.0,22.32,45.0795
300047,天源迪科,9.23,-1.6,16.28,3.9,44.393,0.217,4836748609.0,6.2724,10.67
002473,ST圣莱,5.54,-1.6,-37.4,0.14,-7.433,0.0,886400000.0,5.4,10.2
603799,华友钴业,35.62,-1.6,-9.57,0.99,93.152,0.0,39436731336.0,23.43,58.61
002644,佛慈制药,7.92,-1.61,8.43,0.63,36.764,0.758,4044403440.0,6.451,10.6689
600056,中国医药,14.67,-1.61,14.61,0.82,14.645,1.878,15669147265.0,12.1334,18.35
603786,科博达,73.75,-1.61,42.25,1.57,62.406,0.488,2957375000.0,37.7274,84.44
688330,宏力达,90.42,-1.61,2.48,8.73,36.418,None,2097331956.0,90.12,120.0
002424,贵州百灵,8.56,-1.61,0.82,0.62,64.742,2.57,6656954967.0,7.7883,11.14
603226,菲林格尔,10.39,-1.61,-24.07,0.58,28.061,0.0,2185538162.0,9.741,27.8849
688023,安恒信息,239.1,-1.61,71.02,3.17,195.465,None,3872538199.0,68.68,340.0
002687,乔治白,6.1,-1.61,-0.81,1.9,16.958,0.0,1743197000.0,4.87,7.08
600490,鹏欣资源,3.67,-1.61,-21.08,0.42,-134.851,0.0,6160844517.0,3.03,5.24
000993,闽东电力,6.1,-1.61,-16.89,0.62,-127.844,0.0,2275300000.0,5.64,9.82
603260,合盛硅业,27.88,-1.62,-4.52,0.48,28.998,0.825,10181177333.0,21.401,33.9
688022,瀚川智能,38.18,-1.62,-12.58,1.17,53.703,None,2137183610.0,33.53,101.01
300817,双飞股份,38.76,-1.62,155.04,25.59,56.508,0.537,979542720.0,18.233,45.73
002137,麦达数字,7.31,-1.62,0.41,1.06,242.346,0.0,2773779259.0,6.31,10.48
