股票代码,股票名称,近3年,近5年,近10年,所有时间,当前市盈率(TTM),历史平均,历史最高,历史最低
SH603322,超讯通信,99.3,99.4,99.4,99.4,3330.53,243.72,3380.24,84.42
SH600310,桂东电力,1,1,1,1,49.8,42.01,221.99,8.55
SZ300001,特锐德,59.9,49.3,69.1,70.1,99.21,73.62,215.29,20.13
SZ300521,爱司凯,1,1,1,1,255.13,275.37,2841.97,38.6
SH600774,汉商集团,1,1,1,1,86.2,142.37,867.61,10.57
SZ002146,荣盛发展,2.6,1.7,1,0.8,3.64,12.49,55.76,3.35
SZ000576,广东甘化,1.1,0.7,0.5,0.2,6.51,204.27,3868.73,6.2
SH600824,益民集团,92,94.8,97.2,98.8,223.41,42.14,291.85,9.9
SH600869,智慧能源,1,1,1,1,87.52,497.71,14057.7,11.13
SZ002717,岭南股份,85.1,70.4,66.9,66.9,46.92,35.28,113.27,9.19
SZ000967,盈峰环境,49.6,32.1,27.6,19.1,20.81,67.77,524.88,10.73
